datetime,open,high,low,close,volume
2024-01-18 12:00:00,0.4475,0.4484,0.3796,0.4291,40149635.8
2024-01-18 16:00:00,0.4292,0.4328,0.3704,0.3821,74318297.6
2024-01-18 20:00:00,0.3823,0.4098,0.3511,0.3616,45027446.7
2024-01-19 00:00:00,0.3617,0.3844,0.34,0.3577,41145328.2
2024-01-19 04:00:00,0.3576,0.3705,0.354,0.3564,25847832.8
2024-01-19 08:00:00,0.3563,0.3897,0.3501,0.3858,28694264.9
2024-01-19 12:00:00,0.386,0.3868,0.3594,0.3611,33735799.1
2024-01-19 16:00:00,0.3612,0.4067,0.322,0.4048,53794928.8
2024-01-19 20:00:00,0.4046,0.4174,0.3903,0.4004,31911742.9
2024-01-20 00:00:00,0.4004,0.41,0.3756,0.379,18709307.5
2024-01-20 04:00:00,0.379,0.3801,0.3601,0.3613,9675414.2
2024-01-20 08:00:00,0.3614,0.3626,0.3411,0.3482,17077657.1
2024-01-20 12:00:00,0.3481,0.3482,0.3302,0.3364,13630355.6
2024-01-20 16:00:00,0.3364,0.3503,0.3302,0.3339,16705703.2
2024-01-20 20:00:00,0.3339,0.3464,0.333,0.3372,13406701.5
2024-01-21 00:00:00,0.3372,0.34,0.3241,0.3324,18729173.4
2024-01-21 04:00:00,0.3325,0.3381,0.3071,0.3221,34690699.6
2024-01-21 08:00:00,0.322,0.3482,0.32,0.3419,27084867.8
2024-01-21 12:00:00,0.3418,0.3457,0.3075,0.3112,31892279.8
2024-01-21 16:00:00,0.3112,0.3199,0.2936,0.3123,42567961.7
2024-01-21 20:00:00,0.3123,0.3155,0.3003,0.3032,22167468.7
2024-01-22 00:00:00,0.3033,0.3091,0.2801,0.287,52025564.0
2024-01-22 04:00:00,0.2871,0.2926,0.2727,0.2754,44603208.2
2024-01-22 08:00:00,0.2755,0.2787,0.251,0.2562,92941237.6
2024-01-22 12:00:00,0.2562,0.2848,0.2559,0.2708,88169951.2
2024-01-22 16:00:00,0.2709,0.2852,0.2366,0.2467,87183267.8
2024-01-22 20:00:00,0.2468,0.2578,0.2279,0.2325,82794430.4
2024-01-23 00:00:00,0.2327,0.2468,0.232,0.244,55574682.4
2024-01-23 04:00:00,0.2437,0.2764,0.2437,0.2461,88950459.3
2024-01-23 08:00:00,0.246,0.25,0.2283,0.2319,79797875.8
2024-01-23 12:00:00,0.2319,0.2396,0.2066,0.2207,113661844.2
2024-01-23 16:00:00,0.2208,0.2389,0.2094,0.226,82453052.2
2024-01-23 20:00:00,0.226,0.2831,0.2221,0.2796,104391649.2
2024-01-24 00:00:00,0.2797,0.341,0.2738,0.3338,287490573.5
2024-01-24 04:00:00,0.334,0.3448,0.3099,0.3196,249844758.8
2024-01-24 08:00:00,0.3196,0.3422,0.3075,0.3141,264336372.1
2024-01-24 12:00:00,0.314,0.3327,0.3128,0.3277,227869365.5
2024-01-24 16:00:00,0.3278,0.36,0.3233,0.334,270309982.6
2024-01-24 20:00:00,0.334,0.3555,0.3294,0.3504,109882132.1
2024-01-25 00:00:00,0.3502,0.3534,0.3264,0.3468,103097485.2
2024-01-25 04:00:00,0.347,0.3612,0.3244,0.3543,126659613.7
2024-01-25 08:00:00,0.3543,0.3736,0.3389,0.3587,157406688.8
2024-01-25 12:00:00,0.3588,0.3789,0.3411,0.3628,213694570.0
2024-01-25 16:00:00,0.3627,0.4079,0.3477,0.3975,214653817.1
2024-01-25 20:00:00,0.3975,0.4073,0.38,0.3845,149270251.4
2024-01-26 00:00:00,0.3844,0.3897,0.366,0.3765,74073322.9
2024-01-26 04:00:00,0.3765,0.387,0.352,0.3619,93342142.9
2024-01-26 08:00:00,0.3619,0.3865,0.3504,0.3842,80216221.2
2024-01-26 12:00:00,0.3843,0.3888,0.3471,0.3572,78908667.4
2024-01-26 16:00:00,0.3571,0.3715,0.3527,0.3589,52840376.6
2024-01-26 20:00:00,0.3588,0.3639,0.3468,0.3519,50326955.5
2024-01-27 00:00:00,0.3519,0.3543,0.3306,0.3317,48503088.3
2024-01-27 04:00:00,0.3318,0.3342,0.3,0.3089,104390606.4
2024-01-27 08:00:00,0.3089,0.3239,0.3071,0.3162,65397335.2
2024-01-27 12:00:00,0.3162,0.3391,0.3078,0.3352,67910003.4
2024-01-27 16:00:00,0.3353,0.3554,0.3257,0.3542,58495486.8
2024-01-27 20:00:00,0.3543,0.3649,0.3373,0.3449,43504605.1
2024-01-28 00:00:00,0.345,0.3584,0.3383,0.3523,28454224.0
2024-01-28 04:00:00,0.3523,0.3606,0.322,0.328,52152332.5
2024-01-28 08:00:00,0.3279,0.3687,0.3203,0.3633,62686437.5
2024-01-28 12:00:00,0.3633,0.3748,0.351,0.359,138575273.9
2024-01-28 16:00:00,0.3589,0.3654,0.3374,0.3399,47692645.3
2024-01-28 20:00:00,0.3398,0.3474,0.3112,0.3296,61372199.2
2024-01-29 00:00:00,0.3293,0.3329,0.3158,0.316,36057331.1
2024-01-29 04:00:00,0.3162,0.3232,0.3092,0.3149,44712353.3
2024-01-29 08:00:00,0.3152,0.3227,0.3107,0.3148,39974730.2
2024-01-29 12:00:00,0.3148,0.3181,0.2936,0.3074,108420117.9
2024-01-29 16:00:00,0.3072,0.3187,0.3031,0.3088,70162302.5
2024-01-29 20:00:00,0.3088,0.3254,0.3087,0.3155,46130592.9
2024-01-30 00:00:00,0.3156,0.3439,0.3083,0.3335,68562667.2
2024-01-30 04:00:00,0.3334,0.3365,0.313,0.3169,45254507.3
2024-01-30 08:00:00,0.3168,0.3212,0.3104,0.3141,33579643.5
2024-01-30 12:00:00,0.3142,0.3145,0.2995,0.3046,56496708.4
2024-01-30 16:00:00,0.3046,0.306,0.2856,0.3005,63587638.8
2024-01-30 20:00:00,0.3005,0.3047,0.281,0.284,45692403.5
2024-01-31 00:00:00,0.2841,0.2866,0.2703,0.2818,55713084.9
2024-01-31 04:00:00,0.2818,0.284,0.2755,0.2802,33553532.1
2024-01-31 08:00:00,0.2801,0.2805,0.2641,0.2696,56435576.5
2024-01-31 12:00:00,0.2696,0.2734,0.261,0.2681,54184820.1
2024-01-31 16:00:00,0.2679,0.274,0.2621,0.266,43714103.4
2024-01-31 20:00:00,0.266,0.2671,0.2455,0.2525,77725109.8
2024-02-01 00:00:00,0.2524,0.254,0.2107,0.219,112874763.3
2024-02-01 04:00:00,0.2189,0.2266,0.2159,0.2221,75752511.6
2024-02-01 08:00:00,0.2222,0.2303,0.2185,0.223,79943952.2
2024-02-01 12:00:00,0.2231,0.2394,0.2203,0.229,115760870.4
2024-02-01 16:00:00,0.229,0.2401,0.2239,0.2384,98683314.9
2024-02-01 20:00:00,0.2383,0.2413,0.2264,0.2292,61468832.4
2024-02-02 00:00:00,0.2293,0.233,0.2234,0.2253,49907163.2
2024-02-02 04:00:00,0.2253,0.227,0.2158,0.2231,63450907.7
2024-02-02 08:00:00,0.2231,0.2235,0.21,0.2193,72176933.4
2024-02-02 12:00:00,0.2193,0.2205,0.202,0.2171,114452469.8
2024-02-02 16:00:00,0.217,0.2295,0.2168,0.2276,86158993.8
2024-02-02 20:00:00,0.2276,0.2741,0.2263,0.2603,196338122.9
2024-02-03 00:00:00,0.2603,0.2758,0.2537,0.2616,193556141.2
2024-02-03 04:00:00,0.2616,0.2666,0.2442,0.2484,133942414.6
2024-02-03 08:00:00,0.2484,0.2546,0.2429,0.2476,98442465.9
2024-02-03 12:00:00,0.2475,0.2523,0.2402,0.2451,115335526.7
2024-02-03 16:00:00,0.2452,0.253,0.2436,0.2475,86240765.8
2024-02-03 20:00:00,0.2476,0.2511,0.2355,0.2432,75447461.8
2024-02-04 00:00:00,0.2432,0.2433,0.2304,0.2375,54658253.8
